step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,72845.3,0.0122443
2,0.0003,145049,0.0243807
3,0.00045,216642,0.0364145
4,0.0006,287654,0.0483506
5,0.00075,358113,0.0601937
6,0.0009,428044,0.0719483
7,0.00105,497474,0.0836185
8,0.0012,566427,0.0952085
9,0.00135,634925,0.106722
10,0.0015,702991,0.118163
11,0.00165,770645,0.129535
12,0.0018,837907,0.14084
13,0.00195,904795,0.152083
14,0.0021,971329,0.163267
15,0.00225,1.03752e+06,0.174393
16,0.0024,1.1034e+06,0.185466
17,0.00255,1.16896e+06,0.196486
18,0.0027,1.23424e+06,0.207458
19,0.00285,1.29924e+06,0.218383
20,0.003,1.36397e+06,0.229264
21,0.00315,1.42845e+06,0.240102
22,0.0033,1.49269e+06,0.2509
23,0.00345,1.5567e+06,0.26166
24,0.0036,1.6205e+06,0.272383
25,0.00375,1.68409e+06,0.283072
26,0.0039,1.74748e+06,0.293727
27,0.00405,1.81069e+06,0.304351
28,0.0042,1.87371e+06,0.314945
29,0.00435,1.93657e+06,0.32551
30,0.0045,1.99927e+06,0.336049
31,0.00465,2.06181e+06,0.346561
32,0.0048,2.1242e+06,0.357049
33,0.00495,2.18646e+06,0.367513
34,0.0051,2.24858e+06,0.377955
35,0.00525,2.31058e+06,0.388376
36,0.0054,2.37245e+06,0.398777
37,0.00555,2.43422e+06,0.409158
38,0.0057,2.49587e+06,0.419521
39,0.00585,2.55742e+06,0.429866
40,0.006,2.61887e+06,0.440195
41,0.00615,2.68023e+06,0.450509
42,0.0063,2.74149e+06,0.460807
43,0.00645,2.80267e+06,0.471091
44,0.0066,2.86378e+06,0.481361
45,0.00675,2.9248e+06,0.491618
46,0.0069,2.98575e+06,0.501863
47,0.00705,3.04663e+06,0.512096
48,0.0072,3.10744e+06,0.522318
49,0.00735,3.16819e+06,0.532529
50,0.0075,3.22888e+06,0.54273
51,0.00765,3.28951e+06,0.552921
52,0.0078,3.35009e+06,0.563103
53,0.00795,3.41062e+06,0.573277
54,0.0081,3.47109e+06,0.583442
55,0.00825,3.53152e+06,0.593599
56,0.0084,3.5919e+06,0.603749
57,0.00855,3.65224e+06,0.613891
58,0.0087,3.71254e+06,0.624027
59,0.00885,3.77281e+06,0.634156
60,0.009,3.83303e+06,0.644279
61,0.00915,3.89322e+06,0.654396
62,0.0093,3.95337e+06,0.664507
63,0.00945,4.0135e+06,0.674613
64,0.0096,4.07359e+06,0.684714
65,0.00975,4.13366e+06,0.69481
66,0.0099,4.19369e+06,0.704902
67,0.01005,4.25371e+06,0.714989
68,0.0102,4.31369e+06,0.725072
69,0.01035,4.37366e+06,0.73515
70,0.0105,4.4336e+06,0.745226
71,0.01065,4.49351e+06,0.755297
72,0.0108,4.55341e+06,0.765365
73,0.01095,4.61329e+06,0.77543
74,0.0111,4.67315e+06,0.785492
75,0.01125,4.73299e+06,0.79555
76,0.0114,4.79282e+06,0.805606
77,0.01155,4.85263e+06,0.815659
78,0.0117,4.91242e+06,0.82571
79,0.01185,4.9722e+06,0.835758
80,0.012,5.03197e+06,0.845804
81,0.01215,5.09172e+06,0.855848
82,0.0123,5.15147e+06,0.865889
83,0.01245,5.21119e+06,0.875929
84,0.0126,5.27091e+06,0.885967
85,0.01275,5.33062e+06,0.896003
86,0.0129,5.39032e+06,0.906037
87,0.01305,5.45e+06,0.916069
88,0.0132,5.50968e+06,0.9261
89,0.01335,5.56935e+06,0.93613
90,0.0135,5.62901e+06,0.946158
91,0.01365,5.68866e+06,0.956185
92,0.0138,5.74831e+06,0.96621
93,0.01395,5.80794e+06,0.976234
94,0.0141,5.86757e+06,0.986257
95,0.01425,5.9272e+06,0.996279
96,0.0144,5.98681e+06,1.0063
97,0.01455,6.04643e+06,1.01632
98,0.0147,6.10603e+06,1.02634
99,0.01485,6.16563e+06,1.03636
100,0.015,6.22523e+06,1.04637
101,0.015,6.21197e+06,1.04415
102,0.015,6.19935e+06,1.04203
103,0.015,6.18734e+06,1.04001
104,0.015,6.17591e+06,1.03808
105,0.015,6.16502e+06,1.03625
106,0.015,6.15466e+06,1.03451
107,0.015,6.1448e+06,1.03285
108,0.015,6.13541e+06,1.03128
109,0.015,6.12647e+06,1.02977
110,0.015,6.11796e+06,1.02834
111,0.015,6.10985e+06,1.02698
112,0.015,6.10214e+06,1.02569
113,0.015,6.0948e+06,1.02445
114,0.015,6.08781e+06,1.02328
115,0.015,6.08116e+06,1.02216
116,0.015,6.07483e+06,1.02109
117,0.015,6.0688e+06,1.02008
118,0.015,6.06306e+06,1.01912
119,0.015,6.05759e+06,1.0182
120,0.015,6.05239e+06,1.01732
121,0.015,6.04744e+06,1.01649
122,0.015,6.04273e+06,1.0157
123,0.015,6.03824e+06,1.01494
124,0.015,6.03397e+06,1.01423
125,0.015,6.0299e+06,1.01354
126,0.015,6.02603e+06,1.01289
127,0.015,6.02235e+06,1.01227
128,0.015,6.01884e+06,1.01168
129,0.015,6.0155e+06,1.01112
130,0.015,6.01232e+06,1.01059
131,0.015,6.0093e+06,1.01008
132,0.015,6.00641e+06,1.00959
133,0.015,6.00367e+06,1.00913
134,0.015,6.00106e+06,1.00869
135,0.015,5.99858e+06,1.00828
136,0.015,5.99621e+06,1.00788
137,0.015,5.99396e+06,1.0075
138,0.015,5.99181e+06,1.00714
139,0.015,5.98977e+06,1.0068
140,0.015,5.98783e+06,1.00647
141,0.015,5.98598e+06,1.00616
142,0.015,5.98422e+06,1.00586
143,0.015,5.98254e+06,1.00558
144,0.015,5.98095e+06,1.00531
145,0.015,5.97943e+06,1.00506
146,0.015,5.97798e+06,1.00482
147,0.015,5.97661e+06,1.00458
148,0.015,5.9753e+06,1.00436
149,0.015,5.97405e+06,1.00415
150,0.015,5.97286e+06,1.00395
151,0.015,5.97173e+06,1.00376
152,0.015,5.97066e+06,1.00358
153,0.015,5.96963e+06,1.00341
154,0.015,5.96866e+06,1.00325
155,0.015,5.96773e+06,1.00309
156,0.015,5.96684e+06,1.00294
157,0.015,5.966e+06,1.0028
158,0.015,5.9652e+06,1.00267
159,0.015,5.96444e+06,1.00254
160,0.015,5.96371e+06,1.00242
161,0.015,5.96302e+06,1.0023
162,0.015,5.96237e+06,1.00219
163,0.015,5.96174e+06,1.00209
164,0.015,5.96114e+06,1.00199
165,0.015,5.96058e+06,1.00189
166,0.015,5.96004e+06,1.0018
167,0.015,5.95952e+06,1.00171
168,0.015,5.95903e+06,1.00163
169,0.015,5.95857e+06,1.00155
170,0.015,5.95812e+06,1.00148
171,0.015,5.9577e+06,1.00141
172,0.015,5.9573e+06,1.00134
173,0.015,5.95692e+06,1.00127
174,0.015,5.95655e+06,1.00121
175,0.015,5.9562e+06,1.00115
176,0.015,5.95587e+06,1.0011
177,0.015,5.95556e+06,1.00105
178,0.015,5.95526e+06,1.001
179,0.015,5.95498e+06,1.00095
180,0.015,5.95471e+06,1.0009
181,0.015,5.95445e+06,1.00086
182,0.015,5.9542e+06,1.00082
183,0.015,5.95397e+06,1.00078
184,0.015,5.95374e+06,1.00074
185,0.015,5.95353e+06,1.00071
186,0.015,5.95333e+06,1.00067
187,0.015,5.95314e+06,1.00064
188,0.015,5.95296e+06,1.00061
189,0.015,5.95278e+06,1.00058
190,0.015,5.95262e+06,1.00055
191,0.015,5.95246e+06,1.00053
192,0.015,5.95231e+06,1.0005
193,0.015,5.95217e+06,1.00048
194,0.015,5.95203e+06,1.00045
195,0.015,5.9519e+06,1.00043
196,0.015,5.95178e+06,1.00041
197,0.015,5.95166e+06,1.00039
198,0.015,5.95155e+06,1.00037
199,0.015,5.95144e+06,1.00035
200,0.015,5.95134e+06,1.00034
201,0.015,5.95124e+06,1.00032
202,0.015,5.95115e+06,1.00031
203,0.015,5.95106e+06,1.00029
204,0.015,5.95098e+06,1.00028
205,0.015,5.9509e+06,1.00026
206,0.015,5.95083e+06,1.00025
207,0.015,5.95075e+06,1.00024
208,0.015,5.95069e+06,1.00023
209,0.015,5.95062e+06,1.00022
210,0.015,5.95056e+06,1.00021
211,0.015,5.9505e+06,1.0002
212,0.015,5.95044e+06,1.00019
213,0.015,5.95039e+06,1.00018
214,0.015,5.95034e+06,1.00017
215,0.015,5.95029e+06,1.00016
216,0.015,5.95025e+06,1.00015
217,0.015,5.9502e+06,1.00015
218,0.015,5.95016e+06,1.00014
219,0.015,5.95012e+06,1.00013
220,0.015,5.95008e+06,1.00013
221,0.015,5.95005e+06,1.00012
222,0.015,5.95001e+06,1.00011
223,0.015,5.94998e+06,1.00011
224,0.015,5.94995e+06,1.0001
225,0.015,5.94992e+06,1.0001
226,0.015,5.94989e+06,1.00009
227,0.015,5.94986e+06,1.00009
228,0.015,5.94984e+06,1.00008
229,0.015,5.94981e+06,1.00008
230,0.015,5.94979e+06,1.00008
231,0.015,5.94977e+06,1.00007
232,0.015,5.94975e+06,1.00007
233,0.015,5.94973e+06,1.00007
234,0.015,5.94971e+06,1.00006
235,0.015,5.94969e+06,1.00006
236,0.015,5.94967e+06,1.00006
237,0.015,5.94966e+06,1.00005
238,0.015,5.94964e+06,1.00005
239,0.015,5.94963e+06,1.00005
240,0.015,5.94961e+06,1.00005
241,0.015,5.9496e+06,1.00004
242,0.015,5.94959e+06,1.00004
243,0.015,5.94957e+06,1.00004
244,0.015,5.94956e+06,1.00004
245,0.015,5.94955e+06,1.00004
246,0.015,5.94954e+06,1.00004
247,0.015,5.94953e+06,1.00003
248,0.015,5.94952e+06,1.00003
249,0.015,5.94951e+06,1.00003
250,0.015,5.9495e+06,1.00003
251,0.015,5.9495e+06,1.00003
252,0.015,5.94949e+06,1.00003
253,0.015,5.94948e+06,1.00002
254,0.015,5.94947e+06,1.00002
255,0.015,5.94947e+06,1.00002
256,0.015,5.94946e+06,1.00002
257,0.015,5.94945e+06,1.00002
258,0.015,5.94945e+06,1.00002
259,0.015,5.94944e+06,1.00002
260,0.015,5.94944e+06,1.00002
261,0.015,5.94943e+06,1.00002
262,0.015,5.94943e+06,1.00002
263,0.015,5.94942e+06,1.00002
264,0.015,5.94942e+06,1.00001
265,0.015,5.94942e+06,1.00001
266,0.015,5.94941e+06,1.00001
267,0.015,5.94941e+06,1.00001
268,0.015,5.9494e+06,1.00001
269,0.015,5.9494e+06,1.00001
270,0.015,5.9494e+06,1.00001
271,0.015,5.94939e+06,1.00001
272,0.015,5.94939e+06,1.00001
273,0.015,5.94939e+06,1.00001
274,0.015,5.94939e+06,1.00001
275,0.015,5.94938e+06,1.00001
276,0.015,5.94938e+06,1.00001
277,0.015,5.94938e+06,1.00001
278,0.015,5.94938e+06,1.00001
279,0.015,5.94937e+06,1.00001
280,0.015,5.94937e+06,1.00001
281,0.015,5.94937e+06,1.00001
282,0.015,5.94937e+06,1.00001
283,0.015,5.94937e+06,1.00001
284,0.015,5.94937e+06,1.00001
285,0.015,5.94936e+06,1.00001
286,0.015,5.94936e+06,1
287,0.015,5.94936e+06,1
288,0.015,5.94936e+06,1
289,0.015,5.94936e+06,1
290,0.015,5.94936e+06,1
291,0.015,5.94936e+06,1
292,0.015,5.94935e+06,1
293,0.015,5.94935e+06,1
294,0.015,5.94935e+06,1
295,0.015,5.94935e+06,1
296,0.015,5.94935e+06,1
297,0.015,5.94935e+06,1
298,0.015,5.94935e+06,1
299,0.015,5.94935e+06,1
300,0.015,5.94935e+06,1
301,0.015,5.94935e+06,1
302,0.015,5.94935e+06,1
303,0.015,5.94935e+06,1
304,0.015,5.94935e+06,1
305,0.015,5.94934e+06,1
306,0.015,5.94934e+06,1
307,0.015,5.94934e+06,1
308,0.015,5.94934e+06,1
309,0.015,5.94934e+06,1
310,0.015,5.94934e+06,1
311,0.015,5.94934e+06,1
312,0.015,5.94934e+06,1
313,0.015,5.94934e+06,1
314,0.015,5.94934e+06,1
315,0.015,5.94934e+06,1
316,0.015,5.94934e+06,1
317,0.015,5.94934e+06,1
