step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,197087,0.0331276
2,0.0003,393234,0.0660972
3,0.00045,588475,0.0989145
4,0.0006,782841,0.131585
5,0.00075,976363,0.164113
6,0.0009,1.16907e+06,0.196504
7,0.00105,1.36099e+06,0.228763
8,0.0012,1.55214e+06,0.260893
9,0.00135,1.74256e+06,0.2929
10,0.0015,1.93226e+06,0.324787
11,0.00165,2.12128e+06,0.356558
12,0.0018,2.30963e+06,0.388216
13,0.00195,2.49733e+06,0.419766
14,0.0021,2.6844e+06,0.45121
15,0.00225,2.87087e+06,0.482553
16,0.0024,3.05674e+06,0.513796
17,0.00255,3.24205e+06,0.544943
18,0.0027,3.42679e+06,0.575996
19,0.00285,3.611e+06,0.606959
20,0.003,3.79469e+06,0.637834
21,0.00315,3.97786e+06,0.668623
22,0.0033,4.16054e+06,0.699329
23,0.00345,4.34274e+06,0.729954
24,0.0036,4.52447e+06,0.7605
25,0.00375,4.70574e+06,0.790969
26,0.0039,4.88656e+06,0.821363
27,0.00405,5.06696e+06,0.851685
28,0.0042,5.24692e+06,0.881935
29,0.00435,5.42648e+06,0.912116
30,0.0045,5.60563e+06,0.942229
31,0.00465,5.78439e+06,0.972276
32,0.0048,5.96277e+06,1.00226
33,0.00495,6.14077e+06,1.03218
34,0.0051,6.3184e+06,1.06204
35,0.00525,6.49568e+06,1.09183
36,0.0054,6.6726e+06,1.12157
37,0.00555,6.84918e+06,1.15125
38,0.0057,7.02542e+06,1.18088
39,0.00585,7.20134e+06,1.21044
40,0.006,7.37693e+06,1.23996
41,0.00615,7.5522e+06,1.26942
42,0.0063,7.72716e+06,1.29883
43,0.00645,7.90182e+06,1.32819
44,0.0066,8.07618e+06,1.35749
45,0.00675,8.25024e+06,1.38675
46,0.0069,8.42402e+06,1.41596
47,0.00705,8.59751e+06,1.44512
48,0.0072,8.77073e+06,1.47424
49,0.00735,8.94367e+06,1.50331
50,0.0075,9.11634e+06,1.53233
51,0.00765,9.28874e+06,1.56131
52,0.0078,9.46088e+06,1.59024
53,0.00795,9.63277e+06,1.61913
54,0.0081,9.80441e+06,1.64798
55,0.00825,9.97579e+06,1.67679
56,0.0084,1.01469e+07,1.70556
57,0.00855,1.03178e+07,1.73428
58,0.0087,1.04885e+07,1.76297
59,0.00885,1.06589e+07,1.79161
60,0.009,1.08291e+07,1.82022
61,0.00915,1.09991e+07,1.84879
62,0.0093,1.11688e+07,1.87732
63,0.00945,1.13383e+07,1.90581
64,0.0096,1.15076e+07,1.93427
65,0.00975,1.16767e+07,1.96269
66,0.0099,1.18455e+07,1.99107
67,0.01005,1.20142e+07,2.01942
68,0.0102,1.21826e+07,2.04773
69,0.01035,1.23508e+07,2.076
70,0.0105,1.25189e+07,2.10425
71,0.01065,1.26867e+07,2.13245
72,0.0108,1.28543e+07,2.16063
73,0.01095,1.30217e+07,2.18877
74,0.0111,1.31889e+07,2.21688
75,0.01125,1.3356e+07,2.24495
76,0.0114,1.35228e+07,2.273
77,0.01155,1.36895e+07,2.30101
78,0.0117,1.38559e+07,2.32899
79,0.01185,1.40222e+07,2.35693
80,0.012,1.41883e+07,2.38485
81,0.01215,1.43542e+07,2.41274
82,0.0123,1.45199e+07,2.44059
83,0.01245,1.46854e+07,2.46842
84,0.0126,1.48508e+07,2.49621
85,0.01275,1.5016e+07,2.52398
86,0.0129,1.5181e+07,2.55171
87,0.01305,1.53458e+07,2.57942
88,0.0132,1.55105e+07,2.6071
89,0.01335,1.5675e+07,2.63474
90,0.0135,1.58393e+07,2.66237
91,0.01365,1.60035e+07,2.68996
92,0.0138,1.61674e+07,2.71752
93,0.01395,1.63313e+07,2.74506
94,0.0141,1.64949e+07,2.77257
95,0.01425,1.66584e+07,2.80005
96,0.0144,1.68218e+07,2.8275
97,0.01455,1.69849e+07,2.85493
98,0.0147,1.71479e+07,2.88233
99,0.01485,1.73108e+07,2.90971
100,0.015,1.74735e+07,2.93705
101,0.015,1.7439e+07,2.93125
102,0.015,1.74052e+07,2.92557
103,0.015,1.73722e+07,2.92003
104,0.015,1.73399e+07,2.9146
105,0.015,1.73083e+07,2.90929
106,0.015,1.72774e+07,2.90409
107,0.015,1.72471e+07,2.899
108,0.015,1.72175e+07,2.89402
109,0.015,1.71884e+07,2.88913
110,0.015,1.71599e+07,2.88434
111,0.015,1.71319e+07,2.87964
112,0.015,1.71045e+07,2.87503
113,0.015,1.70775e+07,2.8705
114,0.015,1.70511e+07,2.86605
115,0.015,1.70251e+07,2.86168
116,0.015,1.69996e+07,2.85739
117,0.015,1.69745e+07,2.85317
118,0.015,1.69498e+07,2.84902
119,0.015,1.69255e+07,2.84494
120,0.015,1.69016e+07,2.84092
121,0.015,1.68781e+07,2.83697
122,0.015,1.68549e+07,2.83308
123,0.015,1.68321e+07,2.82924
124,0.015,1.68096e+07,2.82546
125,0.015,1.67875e+07,2.82174
126,0.015,1.67656e+07,2.81807
127,0.015,1.67441e+07,2.81445
128,0.015,1.67228e+07,2.81088
129,0.015,1.67019e+07,2.80735
130,0.015,1.66812e+07,2.80388
131,0.015,1.66608e+07,2.80044
132,0.015,1.66406e+07,2.79705
133,0.015,1.66207e+07,2.79371
134,0.015,1.6601e+07,2.7904
135,0.015,1.65816e+07,2.78713
136,0.015,1.65624e+07,2.7839
137,0.015,1.65434e+07,2.78071
138,0.015,1.65246e+07,2.77755
139,0.015,1.6506e+07,2.77443
140,0.015,1.64876e+07,2.77134
141,0.015,1.64694e+07,2.76828
142,0.015,1.64515e+07,2.76526
143,0.015,1.64337e+07,2.76227
144,0.015,1.6416e+07,2.75931
145,0.015,1.63986e+07,2.75637
146,0.015,1.63813e+07,2.75347
147,0.015,1.63642e+07,2.75059
148,0.015,1.63473e+07,2.74775
149,0.015,1.63305e+07,2.74492
150,0.015,1.63138e+07,2.74213
151,0.015,1.62973e+07,2.73936
152,0.015,1.6281e+07,2.73661
153,0.015,1.62648e+07,2.73389
154,0.015,1.62488e+07,2.73119
155,0.015,1.62328e+07,2.72852
156,0.015,1.62171e+07,2.72586
157,0.015,1.62014e+07,2.72323
158,0.015,1.61859e+07,2.72062
159,0.015,1.61705e+07,2.71803
160,0.015,1.61552e+07,2.71547
161,0.015,1.61401e+07,2.71292
162,0.015,1.6125e+07,2.71039
163,0.015,1.61101e+07,2.70788
164,0.015,1.60953e+07,2.70539
165,0.015,1.60806e+07,2.70292
166,0.015,1.6066e+07,2.70047
167,0.015,1.60515e+07,2.69804
168,0.015,1.60371e+07,2.69562
169,0.015,1.60229e+07,2.69322
170,0.015,1.60087e+07,2.69084
171,0.015,1.59946e+07,2.68847
172,0.015,1.59806e+07,2.68612
173,0.015,1.59668e+07,2.68379
174,0.015,1.5953e+07,2.68147
175,0.015,1.59393e+07,2.67917
176,0.015,1.59257e+07,2.67689
177,0.015,1.59122e+07,2.67461
178,0.015,1.58987e+07,2.67236
179,0.015,1.58854e+07,2.67012
180,0.015,1.58722e+07,2.66789
181,0.015,1.5859e+07,2.66568
182,0.015,1.58459e+07,2.66348
183,0.015,1.58329e+07,2.66129
184,0.015,1.582e+07,2.65912
185,0.015,1.58072e+07,2.65696
186,0.015,1.57944e+07,2.65482
187,0.015,1.57817e+07,2.65269
188,0.015,1.57691e+07,2.65057
189,0.015,1.57566e+07,2.64846
190,0.015,1.57441e+07,2.64637
191,0.015,1.57317e+07,2.64428
192,0.015,1.57194e+07,2.64221
193,0.015,1.57072e+07,2.64016
194,0.015,1.5695e+07,2.63811
195,0.015,1.56829e+07,2.63608
196,0.015,1.56709e+07,2.63406
197,0.015,1.56589e+07,2.63205
198,0.015,1.5647e+07,2.63005
199,0.015,1.56352e+07,2.62806
200,0.015,1.56234e+07,2.62608
201,0.015,1.56117e+07,2.62412
202,0.015,1.56001e+07,2.62216
203,0.015,1.55885e+07,2.62022
204,0.015,1.5577e+07,2.61828
205,0.015,1.55656e+07,2.61636
206,0.015,1.55542e+07,2.61444
207,0.015,1.55429e+07,2.61254
208,0.015,1.55316e+07,2.61065
209,0.015,1.55204e+07,2.60877
210,0.015,1.55093e+07,2.60689
211,0.015,1.54982e+07,2.60503
212,0.015,1.54872e+07,2.60318
213,0.015,1.54762e+07,2.60133
214,0.015,1.54653e+07,2.5995
215,0.015,1.54544e+07,2.59767
216,0.015,1.54436e+07,2.59586
217,0.015,1.54329e+07,2.59405
218,0.015,1.54222e+07,2.59225
219,0.015,1.54115e+07,2.59047
220,0.015,1.5401e+07,2.58869
221,0.015,1.53904e+07,2.58692
222,0.015,1.538e+07,2.58516
223,0.015,1.53695e+07,2.5834
224,0.015,1.53591e+07,2.58166
225,0.015,1.53488e+07,2.57992
226,0.015,1.53385e+07,2.5782
227,0.015,1.53283e+07,2.57648
228,0.015,1.53181e+07,2.57477
229,0.015,1.5308e+07,2.57307
230,0.015,1.52979e+07,2.57137
231,0.015,1.52879e+07,2.56969
232,0.015,1.52779e+07,2.56801
233,0.015,1.5268e+07,2.56634
