step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.0002,0.794538
2,0.0004,0.0004,1.4702
3,0.0006,0.0006,2.13445
4,0.0008,0.0008,2.79605
5,0.001,0.001,3.45704
6,0.0012,0.0012,4.11788
7,0.0014,0.0014,4.77869
8,0.0016,0.0016,5.43949
9,0.0018,0.0018,6.10029
10,0.002,0.002,6.76109
11,0.0022,0.0022,7.42189
12,0.0024,0.0024,8.08269
13,0.0026,0.0026,8.74349
14,0.0028,0.0028,9.40429
15,0.003,0.003,10.0651
16,0.0032,0.0032,10.7259
17,0.0034,0.0034,11.3867
18,0.0036,0.0036,12.0475
19,0.0038,0.0038,12.7083
20,0.004,0.004,13.3691
21,0.0042,0.0042,14.0299
22,0.0044,0.0044,14.6907
23,0.0046,0.0046,15.3515
24,0.0048,0.0048,16.0123
25,0.005,0.005,16.6731
26,0.0052,0.0052,17.3339
27,0.0054,0.0054,17.9947
28,0.0056,0.0056,18.6555
29,0.0058,0.0058,19.3163
30,0.006,0.006,19.9771
31,0.0062,0.0062,20.6379
32,0.0064,0.0064,21.2987
33,0.0066,0.0066,21.9595
34,0.0068,0.0068,22.6203
35,0.007,0.007,23.2811
36,0.0072,0.0072,23.9419
37,0.0074,0.0074,24.6027
38,0.0076,0.0076,25.2635
39,0.0078,0.0078,25.9243
40,0.008,0.008,26.5849
41,0.0082,0.0082,27.2449
42,0.0084,0.0084,27.9046
43,0.0086,0.0086,28.5638
44,0.0088,0.0088,29.2225
45,0.009,0.009,29.8807
46,0.0092,0.0092,30.5384
47,0.0094,0.0094,31.1956
48,0.0096,0.0096,31.8522
49,0.0098,0.0098,32.5083
50,0.01,0.01,33.1638
51,0.0102,0.0102,33.8186
52,0.0104,0.0104,34.4729
53,0.0106,0.0106,35.1265
54,0.0108,0.0108,35.7794
55,0.011,0.011,36.4317
56,0.0112,0.0112,37.0833
57,0.0114,0.0114,37.7342
58,0.0116,0.0116,38.3844
59,0.0118,0.0118,39.0338
60,0.012,0.012,39.6824
61,0.0122,0.0122,40.3303
62,0.0124,0.0124,40.9774
63,0.0126,0.0126,41.6237
64,0.0128,0.0128,42.2692
65,0.013,0.013,42.9139
66,0.0132,0.0132,43.5577
67,0.0134,0.0134,44.2006
68,0.0136,0.0136,44.8427
69,0.0138,0.0138,45.4839
70,0.014,0.014,46.1241
71,0.0142,0.0142,46.7635
72,0.0144,0.0144,47.4019
73,0.0146,0.0146,48.0394
74,0.0148,0.0148,48.6759
75,0.015,0.015,49.3115
76,0.0152,0.0152,49.9461
77,0.0154,0.0154,50.5797
78,0.0156,0.0156,51.2123
79,0.0158,0.0158,51.8438
80,0.016,0.016,52.4744
81,0.0162,0.0162,53.1039
82,0.0164,0.0164,53.7323
83,0.0166,0.0166,54.3597
84,0.0168,0.0168,54.986
85,0.017,0.017,55.6113
86,0.0172,0.0172,56.2355
87,0.0174,0.0174,56.8585
88,0.0176,0.0176,57.4805
89,0.0178,0.0178,58.1013
90,0.018,0.018,58.721
91,0.0182,0.0182,59.3396
92,0.0184,0.0184,59.957
93,0.0186,0.0186,60.5733
94,0.0188,0.0188,61.1885
95,0.019,0.019,61.8025
96,0.0192,0.0192,62.4153
97,0.0194,0.0194,63.0269
98,0.0196,0.0196,63.6373
99,0.0198,0.0198,64.2466
100,0.02,0.02,64.8547
101,0.0202,0.0202,65.4615
102,0.0204,0.0204,66.0672
103,0.0206,0.0206,66.6717
104,0.0208,0.0208,67.2749
105,0.021,0.021,67.8769
106,0.0212,0.0212,68.4777
107,0.0214,0.0214,69.0773
108,0.0216,0.0216,69.6756
109,0.0218,0.0218,70.2727
110,0.022,0.022,70.8686
111,0.0222,0.0222,71.4632
112,0.0224,0.0224,72.0566
113,0.0226,0.0226,72.6487
114,0.0228,0.0228,73.2396
115,0.023,0.023,73.8292
116,0.0232,0.0232,74.4176
117,0.0234,0.0234,75.0047
118,0.0236,0.0236,75.5906
119,0.0238,0.0238,76.1752
120,0.024,0.024,76.7586
121,0.0242,0.0242,77.3407
122,0.0244,0.0244,77.9216
123,0.0246,0.0246,78.5011
124,0.0248,0.0248,79.0795
125,0.025,0.025,79.6565
126,0.0252,0.0252,80.2324
127,0.0254,0.0254,80.8069
128,0.0256,0.0256,81.3802
129,0.0258,0.0258,81.9523
130,0.026,0.026,82.5231
131,0.0262,0.0262,83.0926
132,0.0264,0.0264,83.6609
133,0.0266,0.0266,84.228
134,0.0268,0.0268,84.7938
135,0.027,0.027,85.3583
136,0.0272,0.0272,85.9216
137,0.0274,0.0274,86.4837
138,0.0276,0.0276,87.0446
139,0.0278,0.0278,87.6042
140,0.028,0.028,88.1625
141,0.0282,0.0282,88.7197
142,0.0284,0.0284,89.2756
143,0.0286,0.0286,89.8303
144,0.0288,0.0288,90.3838
145,0.029,0.029,90.9361
146,0.0292,0.0292,91.4871
147,0.0294,0.0294,92.037
148,0.0296,0.0296,92.5857
149,0.0298,0.0298,93.1331
150,0.03,0.03,93.6794
151,0.0302,0.03,93.4331
152,0.0304,0.03,93.3066
153,0.0306,0.03,93.1926
154,0.0308,0.03,93.0821
155,0.031,0.03,92.9732
156,0.0312,0.03,92.8654
157,0.0314,0.03,92.7584
158,0.0316,0.03,92.6524
159,0.0318,0.03,92.5473
160,0.032,0.03,92.4431
161,0.0322,0.03,92.3397
162,0.0324,0.03,92.2372
163,0.0326,0.03,92.1355
164,0.0328,0.03,92.0347
165,0.033,0.03,91.9347
166,0.0332,0.03,91.8355
167,0.0334,0.03,91.7371
168,0.0336,0.03,91.6395
169,0.0338,0.03,91.5427
170,0.034,0.03,91.4466
171,0.0342,0.03,91.3513
172,0.0344,0.03,91.2568
173,0.0346,0.03,91.1631
174,0.0348,0.03,91.07
175,0.035,0.03,90.9778
176,0.0352,0.03,90.8862
177,0.0354,0.03,90.7953
178,0.0356,0.03,90.7052
179,0.0358,0.03,90.6157
180,0.036,0.03,90.527
181,0.0362,0.03,90.4389
182,0.0364,0.03,90.3515
183,0.0366,0.03,90.2648
184,0.0368,0.03,90.1787
185,0.037,0.03,90.0933
186,0.0372,0.03,90.0085
187,0.0374,0.03,89.9244
188,0.0376,0.03,89.8409
189,0.0378,0.03,89.758
190,0.038,0.03,89.6757
191,0.0382,0.03,89.5941
192,0.0384,0.03,89.513
193,0.0386,0.03,89.4326
194,0.0388,0.03,89.3527
195,0.039,0.03,89.2734
196,0.0392,0.03,89.1947
197,0.0394,0.03,89.1166
198,0.0396,0.03,89.039
199,0.0398,0.03,88.962
200,0.04,0.03,88.8856
201,0.0402,0.03,88.8097
202,0.0404,0.03,88.7343
203,0.0406,0.03,88.6595
204,0.0408,0.03,88.5852
205,0.041,0.03,88.5114
206,0.0412,0.03,88.4382
207,0.0414,0.03,88.3654
208,0.0416,0.03,88.2932
209,0.0418,0.03,88.2215
210,0.042,0.03,88.1503
211,0.0422,0.03,88.0796
