step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.0001,0.538023
2,0.0004,0.0002,1.01661
3,0.0006,0.0003,1.48949
4,0.0008,0.0004,1.96104
5,0.001,0.0005,2.43229
6,0.0012,0.0006,2.90346
7,0.0014,0.0007,3.37462
8,0.0016,0.0008,3.84578
9,0.0018,0.0009,4.31693
10,0.002,0.001,4.78809
11,0.0022,0.0011,5.25924
12,0.0024,0.0012,5.73039
13,0.0026,0.0013,6.20155
14,0.0028,0.0014,6.6727
15,0.003,0.0015,7.14385
16,0.0032,0.0016,7.61501
17,0.0034,0.0017,8.08616
18,0.0036,0.0018,8.55732
19,0.0038,0.0019,9.02847
20,0.004,0.002,9.49962
21,0.0042,0.0021,9.97078
22,0.0044,0.0022,10.4419
23,0.0046,0.0023,10.9131
24,0.0048,0.0024,11.3842
25,0.005,0.0025,11.8554
26,0.0052,0.0026,12.3265
27,0.0054,0.0027,12.7977
28,0.0056,0.0028,13.2689
29,0.0058,0.0029,13.74
30,0.006,0.003,14.2112
31,0.0062,0.0031,14.6823
32,0.0064,0.0032,15.1535
33,0.0066,0.0033,15.6246
34,0.0068,0.0034,16.0958
35,0.007,0.0035,16.5669
36,0.0072,0.0036,17.0381
37,0.0074,0.0037,17.5092
38,0.0076,0.0038,17.9799
39,0.0078,0.0039,18.4501
40,0.008,0.004,18.9199
41,0.0082,0.0041,19.3892
42,0.0084,0.0042,19.858
43,0.0086,0.0043,20.3263
44,0.0088,0.0044,20.794
45,0.009,0.0045,21.2612
46,0.0092,0.0046,21.7279
47,0.0094,0.0047,22.1939
48,0.0096,0.0048,22.6593
49,0.0098,0.0049,23.1241
50,0.01,0.005,23.5882
51,0.0102,0.0051,24.0517
52,0.0104,0.0052,24.5145
53,0.0106,0.0053,24.9765
54,0.0108,0.0054,25.4379
55,0.011,0.0055,25.8985
56,0.0112,0.0056,26.3584
57,0.0114,0.0057,26.8176
58,0.0116,0.0058,27.2759
59,0.0118,0.0059,27.7334
60,0.012,0.006,28.1902
61,0.0122,0.0061,28.6461
62,0.0124,0.0062,29.1011
63,0.0126,0.0063,29.5554
64,0.0128,0.0064,30.0087
65,0.013,0.0065,30.4612
66,0.0132,0.0066,30.9127
67,0.0134,0.0067,31.3634
68,0.0136,0.0068,31.8132
69,0.0138,0.0069,32.262
70,0.014,0.007,32.7099
71,0.0142,0.0071,33.1568
72,0.0144,0.0072,33.6028
73,0.0146,0.0073,34.0478
74,0.0148,0.0074,34.4918
75,0.015,0.0075,34.9348
76,0.0152,0.0076,35.3768
77,0.0154,0.0077,35.8178
78,0.0156,0.0078,36.2578
79,0.0158,0.0079,36.6968
80,0.016,0.008,37.1347
81,0.0162,0.0081,37.5716
82,0.0164,0.0082,38.0075
83,0.0166,0.0083,38.4422
84,0.0168,0.0084,38.876
85,0.017,0.0085,39.3086
86,0.0172,0.0086,39.7402
87,0.0174,0.0087,40.1707
88,0.0176,0.0088,40.6002
89,0.0178,0.0089,41.0285
90,0.018,0.009,41.4558
91,0.0182,0.0091,41.8819
92,0.0184,0.0092,42.307
93,0.0186,0.0093,42.7309
94,0.0188,0.0094,43.1538
95,0.019,0.0095,43.5755
96,0.0192,0.0096,43.9962
97,0.0194,0.0097,44.4157
98,0.0196,0.0098,44.8341
99,0.0198,0.0099,45.2514
100,0.02,0.01,45.6676
101,0.0202,0.0101,46.0827
102,0.0204,0.0102,46.4966
103,0.0206,0.0103,46.9095
104,0.0208,0.0104,47.3212
105,0.021,0.0105,47.7318
106,0.0212,0.0106,48.1413
107,0.0214,0.0107,48.5496
108,0.0216,0.0108,48.9569
109,0.0218,0.0109,49.363
110,0.022,0.011,49.7681
111,0.0222,0.0111,50.172
112,0.0224,0.0112,50.5748
113,0.0226,0.0113,50.9766
114,0.0228,0.0114,51.3772
115,0.023,0.0115,51.7767
116,0.0232,0.0116,52.1751
117,0.0234,0.0117,52.5725
118,0.0236,0.0118,52.9687
119,0.0238,0.0119,53.3639
120,0.024,0.012,53.758
121,0.0242,0.0121,54.151
122,0.0244,0.0122,54.5429
123,0.0246,0.0123,54.9338
124,0.0248,0.0124,55.3236
125,0.025,0.0125,55.7123
126,0.0252,0.0126,56.1
127,0.0254,0.0127,56.4867
128,0.0256,0.0128,56.8723
129,0.0258,0.0129,57.2568
130,0.026,0.013,57.6404
131,0.0262,0.0131,58.0229
132,0.0264,0.0132,58.4044
133,0.0266,0.0133,58.7849
134,0.0268,0.0134,59.1643
135,0.027,0.0135,59.5428
136,0.0272,0.0136,59.9203
137,0.0274,0.0137,60.2968
138,0.0276,0.0138,60.6723
139,0.0278,0.0139,61.0468
140,0.028,0.014,61.4203
141,0.0282,0.0141,61.7929
142,0.0284,0.0142,62.1646
143,0.0286,0.0143,62.5353
144,0.0288,0.0144,62.905
145,0.029,0.0145,63.2738
146,0.0292,0.0146,63.6417
147,0.0294,0.0147,64.0087
148,0.0296,0.0148,64.3747
149,0.0298,0.0149,64.7399
150,0.03,0.015,65.1041
151,0.0302,0.0151,65.4675
152,0.0304,0.0152,65.83
153,0.0306,0.0153,66.1916
154,0.0308,0.0154,66.5523
155,0.031,0.0155,66.9122
156,0.0312,0.0156,67.2712
157,0.0314,0.0157,67.6294
158,0.0316,0.0158,67.9867
159,0.0318,0.0159,68.3432
160,0.032,0.016,68.6989
161,0.0322,0.0161,69.0538
162,0.0324,0.0162,69.4078
163,0.0326,0.0163,69.7611
164,0.0328,0.0164,70.1136
165,0.033,0.0165,70.4653
166,0.0332,0.0166,70.8162
167,0.0334,0.0167,71.1663
168,0.0336,0.0168,71.5157
